Lift| -0.0 | Velocity| 0.0 | Wing Area| 0.8544 | Cl|-0.22270517922524263
Lift| 1.4263463679807377e-06 | Velocity| 0.0038504737123292738 | Wing Area| 0.8544 | Cl|0.18383548379204628
Lift| -3.0488892706145015e-05 | Velocity| 0.01252809836871733 | Wing Area| 0.8544 | Cl|-0.3711966172227245
Lift| -0.0002523185139803348 | Velocity| 0.02820355878961026 | Wing Area| 0.8544 | Cl|-0.6061414191054438
Lift| -0.001711951372118176 | Velocity| 0.05580611529443786 | Wing Area| 0.8544 | Cl|-1.0504140151073715
Lift| -0.0053350362741792804 | Velocity| 0.09819520061184014 | Wing Area| 0.8544 | Cl|-1.0572787912617054
Lift| -0.013575576590931346 | Velocity| 0.15755040893896308 | Wing Area| 0.8544 | Cl|-1.0450856440446181
Lift| -0.03023662533055324 | Velocity| 0.23507285845042872 | Wing Area| 0.8544 | Cl|-1.0455890084611392
Lift| -0.0606608622786785 | Velocity| 0.3309436091192051 | Wing Area| 0.8544 | Cl|-1.0583595892393614
Lift| -0.1111714376096696 | Velocity| 0.4443397284733471 | Wing Area| 0.8544 | Cl|-1.0759586923316462
Lift| -0.1876929116931953 | Velocity| 0.5733870398197941 | Wing Area| 0.8544 | Cl|-1.0908996289249748
Lift| -0.30809348356736876 | Velocity| 0.7162938131940044 | Wing Area| 0.8544 | Cl|-1.147447383217096
Lift| -0.4762673156091308 | Velocity| 0.8692511134062558 | Wing Area| 0.8544 | Cl|-1.2044615333720212
Lift| -0.5395847398272773 | Velocity| 1.0293128297131626 | Wing Area| 0.8544 | Cl|-0.9731898124831332
Lift| -0.7442595757614029 | Velocity| 1.1964871330676055 | Wing Area| 0.8544 | Cl|-0.9934386060661916
Lift| -1.001765520948899 | Velocity| 1.3694423553839283 | Wing Area| 0.8544 | Cl|-1.0207308367710066
Lift| -1.3167308467490633 | Velocity| 1.5485340846824378 | Wing Area| 0.8544 | Cl|-1.0492721334438069
Lift| -1.6944044763291084 | Velocity| 1.7336027421166322 | Wing Area| 0.8544 | Cl|-1.0773345475705287
Lift| -2.1471223973274696 | Velocity| 1.92501770692304 | Wing Area| 0.8544 | Cl|-1.1071845381354564
Lift| -2.4740839440092586 | Velocity| 2.121388503786743 | Wing Area| 0.8544 | Cl|-1.0505256872342161
Lift| -3.0022960225087285 | Velocity| 2.319308585765802 | Wing Area| 0.8544 | Cl|-1.0665202524123032
Lift| -3.5675181143450883 | Velocity| 2.515728888685059 | Wing Area| 0.8544 | Cl|-1.0771375856807914
Lift| -4.168848639526886 | Velocity| 2.7110923376671177 | Wing Area| 0.8544 | Cl|-1.0838275230506682
Lift| -4.817410075655975 | Velocity| 2.9078120732190373 | Wing Area| 0.8544 | Cl|-1.088713512316196
Lift| -5.510748954774891 | Velocity| 3.106109225388544 | Wing Area| 0.8544 | Cl|-1.09146508416427
...
Lift| 54.59339025776219 | Velocity| 28.199917926670988 | Wing Area| 0.8544 | Cl|0.1311828444398985
Lift| 47.380784365496275 | Velocity| 28.2455085880017 | Wing Area| 0.8544 | Cl|0.11348438675865953
Lift| 42.90103366180404 | Velocity| 28.289221695174977 | Wing Area| 0.8544 | Cl|0.10243737129651777
Lift| -138.51696833956467 | Velocity| 28.331437360479175 | Wing Area| 0.8544 | Cl|-0.3297603444678592
Output is truncated. View as a scrollable element or open in a text editor. Adjust cell output settings...
Lift| 47.916538018549126 | Velocity| 28.34690687706272 | Wing Area| 0.8544 | Cl|0.11394801023313975
Lift| -139.3090854904499 | Velocity| 28.383867707768974 | Wing Area| 0.8544 | Cl|-0.3304220037800225
Lift| 59.22782706898576 | Velocity| 28.39671674560256 | Wing Area| 0.8544 | Cl|0.14035316421731098
Lift| 51.88162197395748 | Velocity| 28.4205862341886 | Wing Area| 0.8544 | Cl|0.12273831262102235
Lift| 43.158751648688224 | Velocity| 28.443771433434257 | Wing Area| 0.8544 | Cl|0.10193590463652029
Lift| -141.15788170171768 | Velocity| 28.46776260713237 | Wing Area| 0.8544 | Cl|-0.33283663956127535
Lift| 51.49663198095624 | Velocity| 28.464738302453235 | Wing Area| 0.8544 | Cl|0.12144988347800877
Lift| 37.94832038139318 | Velocity| 28.48130818757145 | Wing Area| 0.8544 | Cl|0.08939338019271659
Lift| -140.00742720018695 | Velocity| 28.499136210556287 | Wing Area| 0.8544 | Cl|-0.32939753754082207
Lift| 62.84546332550372 | Velocity| 28.489728047176474 | Wing Area| 0.8544 | Cl|0.14795511790324833
Lift| 51.51430646901778 | Velocity| 28.49139508216425 | Wing Area| 0.8544 | Cl|0.1212643364317585
Lift| 40.223931989897494 | Velocity| 28.494953267223337 | Wing Area| 0.8544 | Cl|0.09466322388701957
Lift| -140.3079318290023 | Velocity| 28.499807032254065 | Wing Area| 0.8544 | Cl|-0.3300889995483685
Lift| 60.48597553272723 | Velocity| 28.478564264020005 | Wing Area| 0.8544 | Cl|0.1425119147821728
Lift| 50.5409629460999 | Velocity| 28.469777663670982 | Wing Area| 0.8544 | Cl|0.11915383599769094
Lift| 42.66560901576903 | Velocity| 28.46183315104418 | Wing Area| 0.8544 | Cl|0.10064330260241863
Lift| 36.46050138927817 | Velocity| 28.45365952081996 | Wing Area| 0.8544 | Cl|0.08605558139871335
